Ort;Plz
Berlin;12049
Berlin;12051
Berlin;12053
Berlin;12055
Berlin;12057
Berlin;12059
Berlin;12099
Berlin;12101
Berlin;12103
Berlin;12105
Berlin;12107
Berlin;12109
Berlin;12157
Berlin;12159
Berlin;12161
Berlin;12163
Berlin;12165
Berlin;12167
Berlin;12169
Berlin;12203
Berlin;12205
Berlin;12207
Berlin;12209
Berlin;12247
Berlin;12249
Berlin;12277
Berlin;12279
Berlin;12305
Berlin;12307
Berlin;12309
Berlin;12347
Berlin;12349
Berlin;12351
Berlin;12353
Berlin;12355
Berlin;12357
Berlin;12359
Berlin;12435
Berlin;12437
Berlin;12439
Berlin;12459
Berlin;12487
Berlin;12489
Berlin;12524
Berlin;12526
Berlin;12527
Berlin;12555
Berlin;12557
Berlin;12559
Berlin;12587
Berlin;12589
Berlin;12619
Berlin;12621
Berlin;12623
Berlin;12627
Berlin;12629
Berlin;12679
Berlin;12681
Berlin;12683
Berlin;12685
Berlin;12687
Berlin;12689
Berlin;13051
Berlin;13053
Berlin;13055
Berlin;13057
Berlin;13059
Berlin;13086
Berlin;13088
